ID,Week,Treatments,Treatment,Concentration,Conc.,value,Honey_Yield,Pre_Treatment_Mite,Knockdown
Formic_Acid,1,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,24,9,22,59
Formic_Acid,1,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,19,8,19,44
Formic_Acid,1,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,18,10,21,39
Formic_Acid,2,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,24,9,18,43
Formic_Acid,2,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,28,10,19,51
Formic_Acid,2,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,34,9,22,59
Formic_Acid,2,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,22,8,19,44
Formic_Acid,2,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,19,10,21,39
Formic_Acid,3,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,30,9,18,43
Formic_Acid,3,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,34,10,19,51
Formic_Acid,3,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,40,9,22,59
Formic_Acid,3,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,28,8,19,44
Formic_Acid,3,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,25,10,21,39
Formic_Acid,4,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,12,9,18,43
Formic_Acid,4,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,16,10,19,51
Formic_Acid,4,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,18,9,22,59
Formic_Acid,4,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,17,8,19,44
Formic_Acid,4,Formic Acid 65% 15ml,Formic Acid 65%,15ml,2,14,10,21,39
Formic_Acid,1,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,12,8,19,9
Formic_Acid,1,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,15,7,20,11
Formic_Acid,1,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,20,8,21,13
Formic_Acid,1,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,17,7,22,9
Formic_Acid,1,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,12,8,18,8
Formic_Acid,2,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,19,8,19,9
Formic_Acid,2,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,22,7,20,11
Formic_Acid,2,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,24,8,21,13
Formic_Acid,2,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,15,7,22,9
Formic_Acid,2,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,14,8,18,8
Formic_Acid,3,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,22,8,19,9
Formic_Acid,3,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,28,7,20,11
Formic_Acid,3,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,32,8,21,13
Formic_Acid,3,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,20,7,22,9
Formic_Acid,3,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,16,8,18,8
Formic_Acid,4,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,10,8,19,9
Formic_Acid,4,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,16,7,20,11
Formic_Acid,4,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,16,8,21,13
Formic_Acid,4,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,14,7,22,9
Formic_Acid,4,Formic Acid 65% 20ml,Formic Acid 65%,20ml,3,12,8,18,8
Oxalic_Acid,1,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,18,15,19,5
Oxalic_Acid,1,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,26,14,21,7
Oxalic_Acid,1,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,34,18,22,9
Oxalic_Acid,1,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,15,19,22,4
Oxalic_Acid,1,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,11,18,19,3
Oxalic_Acid,2,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,27,15,19,5
Oxalic_Acid,2,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,38,14,21,7
Oxalic_Acid,2,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,46,18,22,9
Oxalic_Acid,2,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,18,19,22,4
Oxalic_Acid,2,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,14,18,19,3
Oxalic_Acid,3,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,36,15,19,5
Oxalic_Acid,3,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,52,14,21,7
Oxalic_Acid,3,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,59,18,22,9
Oxalic_Acid,3,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,24,19,22,4
Oxalic_Acid,3,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,16,18,19,3
Oxalic_Acid,4,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,16,15,19,5
Oxalic_Acid,4,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,23,14,21,7
Oxalic_Acid,4,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,30,18,22,9
Oxalic_Acid,4,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,12,19,22,4
Oxalic_Acid,4,Oxalic Acid 3.2%,Oxalic Acid,3.20%,2,10,18,19,3
Oxalic_Acid,1,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,11,19,7
Oxalic_Acid,1,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,11,11,20,9
Oxalic_Acid,1,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,12,10,21,12
Oxalic_Acid,1,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,11,10,19,9
Oxalic_Acid,1,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,9,20,8
Oxalic_Acid,2,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,8,11,19,7
Oxalic_Acid,2,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,12,11,20,9
Oxalic_Acid,2,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,17,10,21,12
Oxalic_Acid,2,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,11,10,19,9
Oxalic_Acid,2,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,9,20,8
Oxalic_Acid,3,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,11,19,7
Oxalic_Acid,3,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,16,11,20,9
Oxalic_Acid,3,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,23,10,21,12
Oxalic_Acid,3,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,12,10,19,9
Oxalic_Acid,3,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,9,20,8
Oxalic_Acid,4,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,11,19,7
Oxalic_Acid,4,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,11,20,9
Oxalic_Acid,4,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,10,21,12
Oxalic_Acid,4,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,12,10,19,9
Oxalic_Acid,4,Oxalic Acid 2.10%,Oxalic Acid,2.10%,1,10,9,20,8
Oxalic_Acid,1,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,17,12,15,8
Oxalic_Acid,1,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,27,13,19,11
Oxalic_Acid,1,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,35,14,23,13
Oxalic_Acid,1,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,13,12,14,6
Oxalic_Acid,1,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,12,14,15,5
Oxalic_Acid,2,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,29,12,15,8
Oxalic_Acid,2,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,38,13,19,11
Oxalic_Acid,2,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,47,14,23,13
Oxalic_Acid,2,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,19,12,14,6
Oxalic_Acid,2,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,17,14,15,5
Oxalic_Acid,3,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,45,12,15,8
Oxalic_Acid,3,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,56,13,19,11
Oxalic_Acid,3,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,65,14,23,13
Oxalic_Acid,3,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,28,12,14,6
Oxalic_Acid,3,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,21,14,15,5
Oxalic_Acid,4,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,11,12,15,8
Oxalic_Acid,4,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,23,13,19,11
Oxalic_Acid,4,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,30,14,23,13
Oxalic_Acid,4,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,12,12,14,6
Oxalic_Acid,4,Oxalic Acid 4.20%,Oxalic Acid,4.20%,3,10,14,15,5
Thymol,1,Thymol 2gm,Thymol,2gm,1,26,6,15,55
Thymol,1,Thymol 2gm,Thymol,2gm,1,33,5,16,69
Thymol,1,Thymol 2gm,Thymol,2gm,1,39,6,18,78
Thymol,1,Thymol 2gm,Thymol,2gm,1,18,5,19,40
Thymol,1,Thymol 2gm,Thymol,2gm,1,12,6,15,21
Thymol,2,Thymol 2gm,Thymol,2gm,1,37,6,15,55
Thymol,2,Thymol 2gm,Thymol,2gm,1,46,5,16,69
Thymol,2,Thymol 2gm,Thymol,2gm,1,57,6,18,78
Thymol,2,Thymol 2gm,Thymol,2gm,1,26,5,19,40
Thymol,2,Thymol 2gm,Thymol,2gm,1,14,6,15,21
Thymol,3,Thymol 2gm,Thymol,2gm,1,49,6,15,55
Thymol,3,Thymol 2gm,Thymol,2gm,1,61,5,16,69
Thymol,3,Thymol 2gm,Thymol,2gm,1,72,6,18,78
Thymol,3,Thymol 2gm,Thymol,2gm,1,34,5,19,40
Thymol,3,Thymol 2gm,Thymol,2gm,1,16,6,15,21
Thymol,4,Thymol 2gm,Thymol,2gm,1,24,6,15,55
Thymol,4,Thymol 2gm,Thymol,2gm,1,31,5,16,69
Thymol,4,Thymol 2gm,Thymol,2gm,1,24,6,18,78
Thymol,4,Thymol 2gm,Thymol,2gm,1,17,5,19,40
Thymol,4,Thymol 2gm,Thymol,2gm,1,11,6,15,21
Thymol,1,Thymol 4gm,Thymol,4gm,2,36,6,17,29
Thymol,1,Thymol 4gm,Thymol,4gm,2,46,6,19,37
Thymol,1,Thymol 4gm,Thymol,4gm,2,57,7,20,43
Thymol,1,Thymol 4gm,Thymol,4gm,2,20,6,19,16
Thymol,1,Thymol 4gm,Thymol,4gm,2,15,5,20,12
Thymol,2,Thymol 4gm,Thymol,4gm,2,48,6,17,29
Thymol,2,Thymol 4gm,Thymol,4gm,2,59,6,19,37
Thymol,2,Thymol 4gm,Thymol,4gm,2,71,7,20,43
Thymol,2,Thymol 4gm,Thymol,4gm,2,30,6,19,16
Thymol,2,Thymol 4gm,Thymol,4gm,2,21,5,20,12
Thymol,3,Thymol 4gm,Thymol,4gm,2,62,6,17,29
Thymol,3,Thymol 4gm,Thymol,4gm,2,89,6,19,37
Thymol,3,Thymol 4gm,Thymol,4gm,2,90,7,20,43
Thymol,3,Thymol 4gm,Thymol,4gm,2,41,6,19,16
Thymol,3,Thymol 4gm,Thymol,4gm,2,31,5,20,12
Thymol,4,Thymol 4gm,Thymol,4gm,2,33,6,17,29
Thymol,4,Thymol 4gm,Thymol,4gm,2,38,6,19,37
Thymol,4,Thymol 4gm,Thymol,4gm,2,47,7,20,43
Thymol,4,Thymol 4gm,Thymol,4gm,2,11,6,19,16
Thymol,4,Thymol 4gm,Thymol,4gm,2,10,5,20,12
Thymol,1,Thymol 6gm,Thymol,6gm,3,13,10,19,16
Thymol,1,Thymol 6gm,Thymol,6gm,3,14,12,18,20
Thymol,1,Thymol 6gm,Thymol,6gm,3,17,8,21,24
Thymol,1,Thymol 6gm,Thymol,6gm,3,10,10,20,12
Thymol,1,Thymol 6gm,Thymol,6gm,3,10,11,19,12
Thymol,2,Thymol 6gm,Thymol,6gm,3,13,10,19,16
Thymol,2,Thymol 6gm,Thymol,6gm,3,14,12,18,20
Thymol,2,Thymol 6gm,Thymol,6gm,3,17,8,21,24
Thymol,2,Thymol 6gm,Thymol,6gm,3,10,10,20,12
Thymol,2,Thymol 6gm,Thymol,6gm,3,10,11,19,12
Thymol,3,Thymol 6gm,Thymol,6gm,3,13,10,19,16
Thymol,3,Thymol 6gm,Thymol,6gm,3,14,12,18,20
Thymol,3,Thymol 6gm,Thymol,6gm,3,17,8,21,24
Thymol,3,Thymol 6gm,Thymol,6gm,3,10,10,20,12
Thymol,3,Thymol 6gm,Thymol,6gm,3,10,11,19,12
Thymol,4,Thymol 6gm,Thymol,6gm,3,13,10,19,16
Thymol,4,Thymol 6gm,Thymol,6gm,3,14,12,18,20
Thymol,4,Thymol 6gm,Thymol,6gm,3,17,8,21,24
Thymol,4,Thymol 6gm,Thymol,6gm,3,10,10,20,12
Thymol,4,Thymol 6gm,Thymol,6gm,3,10,11,19,12
